INFO     | 2015-08-27 13:35:16,560 | progress   | Finished subset 69/133, 51.88 percent done
INFO     | 2015-08-27 13:35:30,440 | progress   | Finished subset 70/133, 52.63 percent done
INFO     | 2015-08-27 13:35:41,476 | progress   | Finished subset 71/133, 53.38 percent done
INFO     | 2015-08-27 13:35:53,289 | progress   | Finished subset 72/133, 54.14 percent done
INFO     | 2015-08-27 13:36:00,767 | progress   | Finished subset 73/133, 54.89 percent done
INFO     | 2015-08-27 13:36:09,723 | progress   | Finished subset 74/133, 55.64 percent done
INFO     | 2015-08-27 13:36:17,534 | progress   | Finished subset 75/133, 56.39 percent done
INFO     | 2015-08-27 13:36:27,420 | progress   | Finished subset 76/133, 57.14 percent done
INFO     | 2015-08-27 13:36:35,763 | progress   | Finished subset 77/133, 57.89 percent done
INFO     | 2015-08-27 13:36:46,491 | progress   | Finished subset 78/133, 58.65 percent done
INFO     | 2015-08-27 13:36:46,493 | method     | ***Greedy algorithm step 2***
INFO     | 2015-08-27 13:36:58,337 | progress   | Finished subset 79/133, 59.40 percent done
INFO     | 2015-08-27 13:37:09,545 | progress   | Finished subset 80/133, 60.15 percent done
INFO     | 2015-08-27 13:37:21,729 | progress   | Finished subset 81/133, 60.90 percent done
INFO     | 2015-08-27 13:37:33,850 | progress   | Finished subset 82/133, 61.65 percent done
INFO     | 2015-08-27 13:37:40,701 | progress   | Finished subset 83/133, 62.41 percent done
INFO     | 2015-08-27 13:37:50,553 | progress   | Finished subset 84/133, 63.16 percent done
INFO     | 2015-08-27 13:38:03,885 | progress   | Finished subset 85/133, 63.91 percent done
INFO     | 2015-08-27 13:38:24,423 | progress   | Finished subset 86/133, 64.66 percent done
INFO     | 2015-08-27 13:38:38,653 | progress   | Finished subset 87/133, 65.41 percent done
INFO     | 2015-08-27 13:38:53,872 | progress   | Finished subset 88/133, 66.17 percent done
INFO     | 2015-08-27 13:38:53,873 | method     | ***Greedy algorithm step 3***
INFO     | 2015-08-27 13:39:17,549 | progress   | Finished subset 89/133, 66.92 percent done
INFO     | 2015-08-27 13:39:39,882 | progress   | Finished subset 90/133, 67.67 percent done
INFO     | 2015-08-27 13:40:05,819 | progress   | Finished subset 91/133, 68.42 percent done
INFO     | 2015-08-27 13:40:28,453 | progress   | Finished subset 92/133, 69.17 percent done
INFO     | 2015-08-27 13:40:48,279 | progress   | Finished subset 93/133, 69.92 percent done
INFO     | 2015-08-27 13:41:01,933 | progress   | Finished subset 94/133, 70.68 percent done
INFO     | 2015-08-27 13:41:22,226 | progress   | Finished subset 95/133, 71.43 percent done
INFO     | 2015-08-27 13:41:45,308 | progress   | Finished subset 96/133, 72.18 percent done
INFO     | 2015-08-27 13:42:08,355 | progress   | Finished subset 97/133, 72.93 percent done
INFO     | 2015-08-27 13:42:08,357 | method     | ***Greedy algorithm step 4***
INFO     | 2015-08-27 13:42:15,237 | progress   | Finished subset 98/133, 73.68 percent done
INFO     | 2015-08-27 13:42:21,098 | progress   | Finished subset 99/133, 74.44 percent done
INFO     | 2015-08-27 13:42:36,277 | progress   | Finished subset 100/133, 75.19 percent done
INFO     | 2015-08-27 13:42:45,110 | progress   | Finished subset 101/133, 75.94 percent done
INFO     | 2015-08-27 13:42:49,377 | progress   | Finished subset 102/133, 76.69 percent done
INFO     | 2015-08-27 13:42:53,830 | progress   | Finished subset 103/133, 77.44 percent done
INFO     | 2015-08-27 13:43:06,142 | progress   | Finished subset 104/133, 78.20 percent done
INFO     | 2015-08-27 13:43:32,998 | progress   | Finished subset 105/133, 78.95 percent done
INFO     | 2015-08-27 13:43:33,005 | method     | ***Greedy algorithm step 5***
INFO     | 2015-08-27 13:43:50,199 | progress   | Finished subset 106/133, 79.70 percent done
INFO     | 2015-08-27 13:44:10,150 | progress   | Finished subset 107/133, 80.45 percent done
INFO     | 2015-08-27 13:44:23,469 | progress   | Finished subset 108/133, 81.20 percent done
INFO     | 2015-08-27 13:44:34,765 | progress   | Finished subset 109/133, 81.95 percent done
INFO     | 2015-08-27 13:44:48,314 | progress   | Finished subset 110/133, 82.71 percent done
INFO     | 2015-08-27 13:44:59,567 | progress   | Finished subset 111/133, 83.46 percent done
INFO     | 2015-08-27 13:45:29,591 | progress   | Finished subset 112/133, 84.21 percent done
INFO     | 2015-08-27 13:45:29,592 | method     | ***Greedy algorithm step 6***
INFO     | 2015-08-27 13:45:33,111 | progress   | Finished subset 113/133, 84.96 percent done
INFO     | 2015-08-27 13:45:36,479 | progress   | Finished subset 114/133, 85.71 percent done
INFO     | 2015-08-27 13:45:41,298 | progress   | Finished subset 115/133, 86.47 percent done
INFO     | 2015-08-27 13:45:50,593 | progress   | Finished subset 116/133, 87.22 percent done
INFO     | 2015-08-27 13:46:08,571 | progress   | Finished subset 117/133, 87.97 percent done
INFO     | 2015-08-27 13:46:31,584 | progress   | Finished subset 118/133, 88.72 percent done
INFO     | 2015-08-27 13:46:31,593 | method     | ***Greedy algorithm step 7***
INFO     | 2015-08-27 13:46:33,920 | progress   | Finished subset 119/133, 89.47 percent done
INFO     | 2015-08-27 13:46:36,930 | progress   | Finished subset 120/133, 90.23 percent done
INFO     | 2015-08-27 13:46:43,869 | progress   | Finished subset 121/133, 90.98 percent done
INFO     | 2015-08-27 13:46:55,544 | progress   | Finished subset 122/133, 91.73 percent done
INFO     | 2015-08-27 13:47:14,301 | progress   | Finished subset 123/133, 92.48 percent done
INFO     | 2015-08-27 13:47:14,327 | method     | ***Greedy algorithm step 8***
INFO     | 2015-08-27 13:47:26,418 | progress   | Finished subset 124/133, 93.23 percent done
INFO     | 2015-08-27 13:47:48,794 | progress   | Finished subset 125/133, 93.98 percent done
INFO     | 2015-08-27 13:47:59,484 | progress   | Finished subset 126/133, 94.74 percent done
INFO     | 2015-08-27 13:48:40,437 | progress   | Finished subset 127/133, 95.49 percent done
INFO     | 2015-08-27 13:48:40,447 | method     | Greedy algorithm finished after 8 steps
INFO     | 2015-08-27 13:48:40,448 | method     | Highest scoring scheme is scheme step_7, with bic score of 12384.610
INFO     | 2015-08-27 13:48:40,448 | reporter   | Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2015-08-27 13:48:40,449 | main       | Total processing time: 0:19:52 (h:m:s)
INFO     | 2015-08-27 13:48:40,449 | main       | Processing complete.
